Sat,Lat,Lon,Alt,Date
6,-0.4744872033,-13.9474816923,20200656.4018455446,2019-06-10T00:31:15Z
7,42.1237117078,26.3312619759,20519675.5321316570,2019-06-10T00:31:15Z
8,-6.2687622095,100.7720218405,20067128.9293750003,2019-06-10T00:31:15Z
9,47.9271826700,53.1320704844,20162729.0902327485,2019-06-10T00:31:15Z
10,-32.9243202710,-161.0128223742,20235377.2215835676,2019-06-10T00:31:15Z
11,-44.2582936487,91.1691690372,20628836.6221238077,2019-06-10T00:31:15Z
12,-28.8158787578,-108.7880520039,20366562.9923292622,2019-06-10T00:31:15Z
13,9.6537231944,-60.3509815110,20137903.2738341466,2019-06-10T00:31:15Z
14,-38.8735014698,144.6561883598,19922222.7930132225,2019-06-10T00:31:15Z
15,-8.7957890230,-86.1960958614,20010223.0179039687,2019-06-10T00:31:15Z
16,55.2848419680,124.6183980075,20000400.0053927414,2019-06-10T00:31:15Z
17,-52.4551473393,-11.3127795221,19860049.3497498184,2019-06-10T00:31:15Z
18,-47.7647393164,111.8858809366,20527367.4676000252,2019-06-10T00:31:15Z
19,-42.0517410414,-31.4103685245,20417077.7499743104,2019-06-10T00:31:15Z
20,-12.0603837871,-150.2368258067,20286508.0866713747,2019-06-10T00:31:15Z
21,35.3037759808,-167.0512594767,20577636.1848114580,2019-06-10T00:31:15Z
22,-38.1962642357,77.7736084699,20075554.7464096360,2019-06-10T00:31:15Z
23,27.0438242887,83.0496079567,20151282.7963324711,2019-06-10T00:31:15Z
24,-52.6078856194,-90.0948673590,20285455.0537142158,2019-06-10T00:31:15Z
25,-3.9806465545,-131.2424441467,20334643.7585605159,2019-06-10T00:31:15Z
26,50.3035463454,165.3340528288,20209661.4124347419,2019-06-10T00:31:15Z
27,18.7396228762,118.9118982221,19995808.4490759224,2019-06-10T00:31:15Z
28,-32.4275629336,25.9695656692,19820096.8261208907,2019-06-10T00:31:15Z
29,43.3884950220,-109.1130374067,20165777.1058975644,2019-06-10T00:31:15Z
30,21.6145423906,5.0478595805,20289621.3358208202,2019-06-10T00:31:15Z
31,3.0235415157,165.3876151930,20425898.1520749219,2019-06-10T00:31:15Z
32,-50.1722251752,163.0545413039,20124103.9486773089,2019-06-10T00:31:15Z
1,-55.9538724985,78.1208672541,20346852.3199643493,2019-06-10T00:31:30Z
2,27.5633138135,-39.4381478842,20391530.5691871122,2019-06-10T00:31:30Z
3,-24.8538658115,64.6128451627,20246317.9334581047,2019-06-10T00:31:30Z
4,54.5808526868,27.9494136594,20208508.7206920870,2019-06-10T00:31:30Z
5,53.7498613380,-58.7582867482,20082748.3490704745,2019-06-10T00:31:30Z
6,-0.5783205274,-13.9399826763,20200579.6594755910,2019-06-10T00:31:30Z
7,42.2005801288,26.3968507734,20519495.4949958548,2019-06-10T00:31:30Z
8,-6.1645621117,100.7816552212,20067142.7831781991,2019-06-10T00:31:30Z
9,47.8639509744,53.2311808680,20162723.6565785073,2019-06-10T00:31:30Z
10,-32.8326428782,-160.9744443805,20235591.6985319518,2019-06-10T00:31:30Z
11,-44.1955757937,91.2513084879,20628653.8422095105,2019-06-10T00:31:30Z
12,-28.9116721445,-108.7613275357,20366795.4216514379,2019-06-10T00:31:30Z
13,9.7567569939,-60.3402371067,20137735.8282407597,2019-06-10T00:31:30Z
14,-38.9600826168,144.7144992943,19922050.6387270615,2019-06-10T00:31:30Z
15,-8.6946782085,-86.1808182895,20009667.7935846783,2019-06-10T00:31:30Z
16,55.3141476068,124.7729245496,20000872.1963038109,2019-06-10T00:31:30Z
17,-52.5089484044,-11.1839250883,19859941.4718812034,2019-06-10T00:31:30Z
18,-47.7020551528,111.9791123491,20526829.3224449232,2019-06-10T00:31:30Z
19,-42.1335610697,-31.3489120506,20417367.5244523175,2019-06-10T00:31:30Z
20,-11.9617260514,-150.2218626804,20286367.4213505089,2019-06-10T00:31:30Z
